{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'b_num_col': 174762, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m6.txt', 'speedup_avg': 1.0339622790953555, 'speedup_best': 1.0338662813775146, 'xsmm_local_avg': 63.12702083333335, 'xsmm_local_best': 62.983, 'xsmm_upstream_avg': 65.27095833333334, 'xsmm_upstream_best': 65.116}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'b_num_col': 174762, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m132.txt', 'speedup_avg': 1.0071541367083336, 'speedup_best': 1.006810395253614, 'xsmm_local_avg': 72.03291666666668, 'xsmm_local_best': 71.802, 'xsmm_upstream_avg': 72.54825000000001, 'xsmm_upstream_best': 72.291}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'b_num_col': 174762, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m460.txt', 'speedup_avg': 1.036239470483911, 'speedup_best': 1.0365540188920253, 'xsmm_local_avg': 63.53914583333334, 'xsmm_local_best': 63.413, 'xsmm_upstream_avg': 65.84177083333334, 'xsmm_upstream_best': 65.731}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'b_num_col': 223696, 'beta': 0.0, 'density': 0.008, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.022104892040182, 'speedup_best': 1.0219857842920843, 'xsmm_local_avg': 68.07316666666668, 'xsmm_local_best': 67.953, 'xsmm_upstream_avg': 69.57791666666667, 'xsmm_upstream_best': 69.447}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'b_num_col': 223696, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0948570640740465, 'speedup_best': 1.0959837833993218, 'xsmm_local_avg': 84.62052083333332, 'xsmm_local_best': 84.358, 'xsmm_upstream_avg': 92.647375, 'xsmm_upstream_best': 92.455}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'b_num_col': 89478, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0536369771003211, 'speedup_best': 1.052771730028471, 'xsmm_local_avg': 59.831624999999995, 'xsmm_local_best': 59.71, 'xsmm_upstream_avg': 63.040812499999994, 'xsmm_upstream_best': 62.861}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'b_num_col': 89478, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.1775404530546365, 'speedup_best': 1.1773932014505146, 'xsmm_local_avg': 68.11264583333333, 'xsmm_local_best': 67.838, 'xsmm_upstream_avg': 80.20539583333333, 'xsmm_upstream_best': 79.872}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'b_num_col': 89478, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0234788176947178, 'speedup_best': 1.0221026093143395, 'xsmm_local_avg': 64.80841666666669, 'xsmm_local_best': 64.653, 'xsmm_upstream_avg': 66.33004166666667, 'xsmm_upstream_best': 66.082}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'b_num_col': 223696, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m0.txt', 'speedup_avg': 1.0447989028589098, 'speedup_best': 1.0441573792637626, 'xsmm_local_avg': 94.85258333333336, 'xsmm_local_best': 94.752, 'xsmm_upstream_avg': 99.10187499999999, 'xsmm_upstream_best': 98.93600000000004}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'b_num_col': 223696, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m3.txt', 'speedup_avg': 1.0874541999210106, 'speedup_best': 1.0882805977871062, 'xsmm_local_avg': 85.24366666666667, 'xsmm_local_best': 85.047, 'xsmm_upstream_avg': 92.69858333333332, 'xsmm_upstream_best': 92.555}
