{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'gimmik_avg': 89.71722916666668, 'gimmik_best': 89.302, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt'}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'gimmik_avg': 901.0249166666666, 'gimmik_best': 898.186, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'gimmik_avg': 93.81608333333334, 'gimmik_best': 93.121, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'gimmik_avg': 170.70483333333334, 'gimmik_best': 169.955, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'gimmik_avg': 248.3194583333333, 'gimmik_best': 247.219, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'gimmik_avg': 296.14479166666666, 'gimmik_best': 287.982, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'gimmik_avg': 379.2862916666667, 'gimmik_best': 378.611, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'gimmik_avg': 504.2970833333334, 'gimmik_best': 503.38, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 141.75079166666663, 'gimmik_best': 140.46000000000004, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'gimmik_avg': 209.3842291666667, 'gimmik_best': 208.06, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'gimmik_avg': 127.086, 'gimmik_best': 126.3, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 276.273375, 'gimmik_best': 269.156, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'gimmik_avg': 154.02920833333334, 'gimmik_best': 152.981, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'gimmik_avg': 190.91829166666665, 'gimmik_best': 189.476, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'gimmik_avg': 155.35958333333332, 'gimmik_best': 154.386, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.1_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'gimmik_avg': 93.98964583333334, 'gimmik_best': 92.991, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.01_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'gimmik_avg': 216.34793749999997, 'gimmik_best': 214.55, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.2_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'gimmik_avg': 278.65137500000003, 'gimmik_best': 276.956, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.3_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'gimmik_avg': 425.6028125, 'gimmik_best': 423.723, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.4_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 154.42914583333334, 'gimmik_best': 153.576, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'gimmik_avg': 623.49825, 'gimmik_best': 622.941, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.5_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'gimmik_avg': 171.60295833333336, 'gimmik_best': 170.923, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.15_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'gimmik_avg': 130.6604583333333, 'gimmik_best': 130.062, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.025_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 249.32270833333334, 'gimmik_best': 248.657, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.25_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'gimmik_avg': 151.80152083333334, 'gimmik_best': 151.18, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.075_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'gimmik_avg': 164.2486875, 'gimmik_best': 163.497, 'mat_file': 'synth_mats/vary_density/q_64/r_128_c_128_p_0.125_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 204, 'a_rows': 32, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'gimmik_avg': 41.23647916666667, 'gimmik_best': 39.849, 'mat_file': 'synth_mats/vary_row/q_16/r_32_c_128_p_0.05_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 64, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'gimmik_avg': 79.84168749999999, 'gimmik_best': 78.864, 'mat_file': 'synth_mats/vary_row/q_16/r_64_c_128_p_0.05_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 149.44283333333334, 'gimmik_best': 148.881, 'mat_file': 'synth_mats/vary_row/q_16/r_128_c_128_p_0.05_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 256, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 269.5587708333333, 'gimmik_best': 267.78700000000003, 'mat_file': 'synth_mats/vary_row/q_16/r_256_c_128_p_0.05_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 512, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 417.0093958333332, 'gimmik_best': 412.73900000000003, 'mat_file': 'synth_mats/vary_row/q_16/r_512_c_128_p_0.05_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 1024, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'gimmik_avg': 2866.6435, 'gimmik_best': 2856.915, 'mat_file': 'synth_mats/vary_row/q_16/r_1024_c_128_p_0.05_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 204, 'a_rows': 32, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'gimmik_avg': 41.1298125, 'gimmik_best': 40.766, 'mat_file': 'synth_mats/vary_row/q_64/r_32_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 64, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'gimmik_avg': 85.42231249999999, 'gimmik_best': 84.91, 'mat_file': 'synth_mats/vary_row/q_64/r_64_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 143.06412500000002, 'gimmik_best': 142.169, 'mat_file': 'synth_mats/vary_row/q_64/r_128_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 256, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 267.6899583333333, 'gimmik_best': 264.938, 'mat_file': 'synth_mats/vary_row/q_64/r_256_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 512, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 398.6661458333333, 'gimmik_best': 397.338, 'mat_file': 'synth_mats/vary_row/q_64/r_512_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 1024, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'gimmik_avg': 3004.2819375, 'gimmik_best': 2991.742, 'mat_file': 'synth_mats/vary_row/q_64/r_1024_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 144.92029166666669, 'gimmik_best': 143.274, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_8.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 145.75160416666665, 'gimmik_best': 144.208, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_16.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 147.4305416666667, 'gimmik_best': 145.67, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_24.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 31, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 148.03097916666667, 'gimmik_best': 146.543, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_31.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 40, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 144.045, 'gimmik_best': 142.949, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_40.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 48, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 146.4228958333333, 'gimmik_best': 144.774, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_48.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 56, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 139.62800000000001, 'gimmik_best': 138.17499999999995, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_56.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 143.04329166666665, 'gimmik_best': 141.83, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 78, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 149.03729166666665, 'gimmik_best': 147.585, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_78.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 96, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 142.55427083333333, 'gimmik_best': 141.54, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_96.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 112, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 145.82139583333336, 'gimmik_best': 144.593, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_112.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 128, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 140.80191666666667, 'gimmik_best': 139.552, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_128.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 144, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 144.62195833333337, 'gimmik_best': 143.237, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_144.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 160, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 148.42360416666668, 'gimmik_best': 146.443, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_160.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 176, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 143.002625, 'gimmik_best': 141.694, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_176.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 192, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 139.6894583333333, 'gimmik_best': 138.126, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_192.txt'}
