{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m3.txt', 'speedup_avg': 0.9933282592208101, 'speedup_best': 0.9908067469128589, 'xsmm_local_avg': 77.46291666666667, 'xsmm_local_best': 77.013, 'xsmm_upstream_avg': 76.94610416666669, 'xsmm_upstream_best': 76.305}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m6.txt', 'speedup_avg': 1.0188087412456244, 'speedup_best': 1.019087469465443, 'xsmm_local_avg': 129.95287499999998, 'xsmm_local_best': 129.771, 'xsmm_upstream_avg': 132.39712499999993, 'xsmm_upstream_best': 132.248}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m132.txt', 'speedup_avg': 1.0459269979491048, 'speedup_best': 1.0465040003441155, 'xsmm_local_avg': 186.70708333333337, 'xsmm_local_best': 185.98400000000004, 'xsmm_upstream_avg': 195.2819791666667, 'xsmm_upstream_best': 194.633}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m460.txt', 'speedup_avg': 0.9957878892878154, 'speedup_best': 0.9957080656624552, 'xsmm_local_avg': 145.08264583333332, 'xsmm_local_best': 144.923, 'xsmm_upstream_avg': 144.47154166666664, 'xsmm_upstream_best': 144.301}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0100365225284975, 'speedup_best': 1.0106876797319022, 'xsmm_local_avg': 88.58687499999998, 'xsmm_local_best': 88.326, 'xsmm_upstream_avg': 89.47597916666668, 'xsmm_upstream_best': 89.27}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0717893378675358, 'speedup_best': 1.0708189997353796, 'xsmm_local_avg': 121.06747916666664, 'xsmm_local_best': 120.928, 'xsmm_upstream_avg': 129.75883333333334, 'xsmm_upstream_best': 129.492}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0370356915325247, 'speedup_best': 1.0367186495472163, 'xsmm_local_avg': 217.9181666666667, 'xsmm_local_best': 217.764, 'xsmm_upstream_avg': 225.98891666666668, 'xsmm_upstream_best': 225.76}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre/m0.txt', 'speedup_avg': 1.0327906767075807, 'speedup_best': 1.0321076129331086, 'xsmm_local_avg': 155.74612499999995, 'xsmm_local_best': 155.446, 'xsmm_upstream_avg': 160.8531458333334, 'xsmm_upstream_best': 160.437}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre/m3.txt', 'speedup_avg': 1.023223746518528, 'speedup_best': 1.0241846454706032, 'xsmm_local_avg': 127.07897916666668, 'xsmm_local_best': 126.816, 'xsmm_upstream_avg': 130.03022916666666, 'xsmm_upstream_best': 129.883}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre/m6.txt', 'speedup_avg': 1.032506907914445, 'speedup_best': 1.0323698090609668, 'xsmm_local_avg': 217.3307291666667, 'xsmm_local_best': 217.085, 'xsmm_upstream_avg': 224.39547916666675, 'xsmm_upstream_best': 224.112}
