{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.063410180740465, 'speedup_best': 1.0626377249145456, 'xsmm_local_avg': 173.61335416666665, 'xsmm_local_best': 172.899, 'xsmm_upstream_avg': 184.62220833333336, 'xsmm_upstream_best': 183.729}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0068389917638847, 'speedup_best': 1.0068413925407662, 'xsmm_local_avg': 141.94343750000002, 'xsmm_local_best': 141.784, 'xsmm_upstream_avg': 142.9141875, 'xsmm_upstream_best': 142.754}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m0.txt', 'speedup_avg': 0.9987603410137349, 'speedup_best': 1.0002897570869755, 'xsmm_local_avg': 83.32264583333334, 'xsmm_local_best': 82.828, 'xsmm_upstream_avg': 83.21935416666666, 'xsmm_upstream_best': 82.852}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m3.txt', 'speedup_avg': 0.9835292301673587, 'speedup_best': 0.9759305689488911, 'xsmm_local_avg': 78.28135416666665, 'xsmm_local_best': 77.775, 'xsmm_upstream_avg': 76.992, 'xsmm_upstream_best': 75.903}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m6.txt', 'speedup_avg': 1.0294343697039587, 'speedup_best': 1.0297656990935804, 'xsmm_local_avg': 128.8919791666667, 'xsmm_local_best': 128.638, 'xsmm_upstream_avg': 132.6858333333333, 'xsmm_upstream_best': 132.467}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m132.txt', 'speedup_avg': 1.1009651113337016, 'speedup_best': 1.0946063875271612, 'xsmm_local_avg': 171.98577083333336, 'xsmm_local_best': 170.739, 'xsmm_upstream_avg': 189.35033333333334, 'xsmm_upstream_best': 186.892}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m460.txt', 'speedup_avg': 1.0011128514023127, 'speedup_best': 1.000674313521029, 'xsmm_local_avg': 144.09306250000006, 'xsmm_local_best': 143.85, 'xsmm_upstream_avg': 144.2534166666667, 'xsmm_upstream_best': 143.947}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0201994242448889, 'speedup_best': 1.016614544834252, 'xsmm_local_avg': 88.11616666666669, 'xsmm_local_best': 87.935, 'xsmm_upstream_avg': 89.89606250000003, 'xsmm_upstream_best': 89.39599999999996}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0493499383456286, 'speedup_best': 1.0501194290232907, 'xsmm_local_avg': 122.91302083333333, 'xsmm_local_best': 122.667, 'xsmm_upstream_avg': 128.9787708333333, 'xsmm_upstream_best': 128.815}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'example_mats_small/hex/p5/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.025762079728966, 'speedup_best': 1.0246008838146283, 'xsmm_local_avg': 218.16464583333337, 'xsmm_local_best': 217.919, 'xsmm_upstream_avg': 223.7850208333333, 'xsmm_upstream_best': 223.28}
