{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m460.txt', 'speedup_avg': 1.0420226378265092, 'speedup_best': 1.0390831918505943, 'xsmm_local_avg': 59.086208333333325, 'xsmm_local_best': 58.9, 'xsmm_upstream_avg': 61.56916666666665, 'xsmm_upstream_best': 61.202}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.988499245584072, 'speedup_best': 0.9884085266672374, 'xsmm_local_avg': 58.599416666666656, 'xsmm_local_best': 58.405, 'xsmm_upstream_avg': 57.92547916666668, 'xsmm_upstream_best': 57.728}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.8154295785342179, 'speedup_best': 0.8147314417338499, 'xsmm_local_avg': 76.55129166666669, 'xsmm_local_best': 76.408, 'xsmm_upstream_avg': 62.42218750000001, 'xsmm_upstream_best': 62.252}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9598141626608009, 'speedup_best': 0.9593453620171178, 'xsmm_local_avg': 121.16779166666662, 'xsmm_local_best': 121.044, 'xsmm_upstream_avg': 116.29856249999999, 'xsmm_upstream_best': 116.123}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9584531800933664, 'speedup_best': 0.9606034791412027, 'xsmm_local_avg': 162.71502083333334, 'xsmm_local_best': 161.994, 'xsmm_upstream_avg': 155.9547291666667, 'xsmm_upstream_best': 155.612}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 0.9582483320088675, 'speedup_best': 0.9625063371123344, 'xsmm_local_avg': 137.1097916666667, 'xsmm_local_best': 136.10299999999995, 'xsmm_upstream_avg': 131.38522916666668, 'xsmm_upstream_best': 131.0}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m0.txt', 'speedup_avg': 0.975941909336536, 'speedup_best': 0.9748715019988579, 'xsmm_local_avg': 66.61999999999998, 'xsmm_local_best': 66.538, 'xsmm_upstream_avg': 65.01725, 'xsmm_upstream_best': 64.866}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m3.txt', 'speedup_avg': 0.8145573368433039, 'speedup_best': 0.8150923165437524, 'xsmm_local_avg': 76.65464583333335, 'xsmm_local_best': 76.476, 'xsmm_upstream_avg': 62.43960416666667, 'xsmm_upstream_best': 62.335}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m6.txt', 'speedup_avg': 0.9569934719432123, 'speedup_best': 0.9572413451864558, 'xsmm_local_avg': 121.4820416666667, 'xsmm_local_best': 121.262, 'xsmm_upstream_avg': 116.25752083333334, 'xsmm_upstream_best': 116.077}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m132.txt', 'speedup_avg': 0.9457586545287113, 'speedup_best': 0.9481338213511893, 'xsmm_local_avg': 164.3810625, 'xsmm_local_best': 163.382, 'xsmm_upstream_avg': 155.46481250000002, 'xsmm_upstream_best': 154.90800000000002}
