{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m132.txt', 'speedup_avg': 1.0034393433212132, 'speedup_best': 1.0037963106762609, 'xsmm_local_avg': 58.13852083333333, 'xsmm_local_best': 57.951, 'xsmm_upstream_avg': 58.338479166666666, 'xsmm_upstream_best': 58.171}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_small/hex/p3/gauss-legendre/m460.txt', 'speedup_avg': 1.0013511880906532, 'speedup_best': 1.001427385892116, 'xsmm_local_avg': 60.87235416666664, 'xsmm_local_best': 60.25, 'xsmm_upstream_avg': 60.95460416666666, 'xsmm_upstream_best': 60.336}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9884538301134015, 'speedup_best': 0.9926580654358829, 'xsmm_local_avg': 57.03731250000001, 'xsmm_local_best': 56.116, 'xsmm_upstream_avg': 56.378750000000004, 'xsmm_upstream_best': 55.704}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9987498910371234, 'speedup_best': 0.9999517382281495, 'xsmm_local_avg': 62.37789583333332, 'xsmm_local_best': 62.161, 'xsmm_upstream_avg': 62.29991666666669, 'xsmm_upstream_best': 62.158}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0048490301669628, 'speedup_best': 1.0048293708835672, 'xsmm_local_avg': 115.7233125, 'xsmm_local_best': 115.543, 'xsmm_upstream_avg': 116.28445833333336, 'xsmm_upstream_best': 116.101}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.016787503311881, 'speedup_best': 1.0170243752393269, 'xsmm_local_avg': 159.69964583333334, 'xsmm_local_best': 159.301, 'xsmm_upstream_avg': 162.38060416666664, 'xsmm_upstream_best': 162.013}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0005444904874352, 'speedup_best': 0.9998701447504108, 'xsmm_local_avg': 131.35368750000004, 'xsmm_local_best': 130.915, 'xsmm_upstream_avg': 131.42520833333333, 'xsmm_upstream_best': 130.89800000000002}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m0.txt', 'speedup_avg': 0.9950249788716449, 'speedup_best': 0.9946178686759958, 'xsmm_local_avg': 65.25097916666668, 'xsmm_local_best': 65.03, 'xsmm_upstream_avg': 64.92635416666666, 'xsmm_upstream_best': 64.68}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m3.txt', 'speedup_avg': 1.0045749961243007, 'speedup_best': 1.0033138683782958, 'xsmm_local_avg': 62.35433333333332, 'xsmm_local_best': 62.163, 'xsmm_upstream_avg': 62.63960416666668, 'xsmm_upstream_best': 62.369}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m6.txt', 'speedup_avg': 1.00233500939074, 'speedup_best': 1.0022214346837697, 'xsmm_local_avg': 115.87212500000003, 'xsmm_local_best': 115.691, 'xsmm_upstream_avg': 116.14268750000001, 'xsmm_upstream_best': 115.948}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m132.txt', 'speedup_avg': 1.008405844129198, 'speedup_best': 1.0040223599465303, 'xsmm_local_avg': 165.00177083333332, 'xsmm_local_best': 164.58000000000004, 'xsmm_upstream_avg': 166.38875, 'xsmm_upstream_best': 165.242}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'example_mats_small/hex/p4/gauss-legendre/m460.txt', 'speedup_avg': 0.9989028893194537, 'speedup_best': 1.0003400332476953, 'xsmm_local_avg': 132.86793750000007, 'xsmm_local_best': 132.34, 'xsmm_upstream_avg': 132.72216666666665, 'xsmm_upstream_best': 132.385}
