{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'gimmik_avg': 211.16891666666666, 'gimmik_best': 210.043, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m0.txt'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'gimmik_avg': 204.01262500000004, 'gimmik_best': 202.809, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m3.txt'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'gimmik_avg': 456.8722083333334, 'gimmik_best': 454.81899999999996, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m6.txt'}
{'a_cols': 648, 'a_nonzero': 3888, 'a_rows': 216, 'a_size': 139968, 'a_unique': 36, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'gimmik_avg': 345.623625, 'gimmik_best': 344.074, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m132.txt'}
{'a_cols': 216, 'a_nonzero': 3888, 'a_rows': 648, 'a_size': 139968, 'a_unique': 36, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'gimmik_avg': 439.8152916666666, 'gimmik_best': 438.807, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m460.txt'}
{'a_cols': 343, 'a_nonzero': 294, 'a_rows': 294, 'a_size': 100842, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0029154518950437317, 'gimmik_avg': 150.30525, 'gimmik_best': 149.893, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre-lobatto/m0.txt'}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'gimmik_avg': 309.90000000000003, 'gimmik_best': 308.629, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre-lobatto/m3.txt'}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'gimmik_avg': 800.0939374999999, 'gimmik_best': 796.359, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre-lobatto/m6.txt'}
{'a_cols': 1029, 'a_nonzero': 6468, 'a_rows': 343, 'a_size': 352947, 'a_unique': 44, 'alpha': 1.0, 'beta': 0.0, 'density': 0.018325697625989172, 'gimmik_avg': 1693.7461874999997, 'gimmik_best': 1689.496, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre-lobatto/m132.txt'}
{'a_cols': 343, 'a_nonzero': 6468, 'a_rows': 1029, 'a_size': 352947, 'a_unique': 44, 'alpha': 1.0, 'beta': 0.0, 'density': 0.018325697625989172, 'gimmik_avg': 2795.5588958333333, 'gimmik_best': 2788.75, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre-lobatto/m460.txt'}
